experiment_id,model_type,hidden_dim,num_epochs,learning_rate,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,val_loss_mean,val_loss_std
12,GRU,128,20,0.0005,0.6333333333333333,0.13944333775567927,0.5900000000000001,0.10246950765959599,0.9333333333333333,0.14907119849998599,0.7190476190476189,0.10667888960580882,0.7435118367274602,0.38704085627834944
4,GRU,32,20,0.001,0.6333333333333333,0.2738612787525831,0.54,0.3110466202999158,0.8,0.4472135954999579,0.6428571428571429,0.3633391062388536,0.7715788245201111,0.34108839751953524
11,GRU,64,20,0.0005,0.5,0.33333333333333337,0.45666666666666667,0.2961793750790595,0.6666666666666666,0.4714045207910317,0.5380952380952382,0.36161877798251735,0.7540067632993062,0.3159011196323938
10,GRU,32,20,0.0005,0.5333333333333333,0.24720661623652213,0.4833333333333333,0.291070819942883,0.5999999999999999,0.3651483716701107,0.5333333333333332,0.320147358361364,0.7394158005714417,0.1849131530111461
8,GRU,64,10,0.0005,0.5,0.31180478223116176,0.4833333333333333,0.291070819942883,0.5999999999999999,0.3651483716701107,0.5333333333333332,0.320147358361364,0.7357443928718567,0.13714535953602186
6,GRU,128,20,0.001,0.5,0.16666666666666666,0.42000000000000004,0.24899799195977462,0.6666666666666666,0.408248290463863,0.5142857142857142,0.307848027707285,0.844751825928688,0.5707043211364018
3,GRU,128,10,0.001,0.4666666666666667,0.3205897343611891,0.4366666666666667,0.2873248258601327,0.5999999999999999,0.4346134936801766,0.5023809523809524,0.34383953173357834,0.7455875376860301,0.24362574323779865
9,GRU,128,10,0.0005,0.4666666666666667,0.3205897343611891,0.43666666666666665,0.2873248258601327,0.5999999999999999,0.4346134936801766,0.5023809523809524,0.34383953173357834,0.7360475341478984,0.192214287377201
1,GRU,32,10,0.001,0.5333333333333333,0.24720661623652213,0.55,0.37080992435478316,0.5333333333333333,0.380058475033046,0.5,0.31134992453861954,0.7490646203358968,0.18219904250383348
7,GRU,32,10,0.0005,0.5333333333333333,0.24720661623652213,0.55,0.37080992435478316,0.5333333333333333,0.380058475033046,0.5,0.31134992453861954,0.7297789653142294,0.1122530735078825
2,GRU,64,10,0.001,0.4666666666666667,0.3205897343611891,0.45,0.29814239699997197,0.5333333333333333,0.380058475033046,0.48571428571428577,0.33060104681351965,0.7622860034306844,0.24846626887240028
5,GRU,64,20,0.001,0.4333333333333333,0.2788866755113585,0.35333333333333333,0.32795663669996916,0.4666666666666666,0.4472135954999579,0.39761904761904765,0.36843266737015534,0.8434491376082102,0.5456645414773708
